,Index,Dis No,Year,Disaster Subtype,Country,ISO,Region,Continent,Associated Dis,Associated Dis2,Appeal,Declaration,Dis Mag Value,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,CPI,Location,Code,country,latitude,longitude,name,num,GDP_Scale,GDP_value,HE_value,FAO_Item,FAO_Value,Population_value,No,Index
50,17,1998-0217-IND,1998,Heat wave,India,IND,Southern Asia,Asia,,,,,50.0,1998,5,26.0,1998,5,26.0,2541.0,,,,,60.1574108900066,"Orissa, Andhra Pradesh, Rajasthan, Madhya Pradesh, Uttar Pradesh, Gujarat states",IN,IN,20.593684,78.96288,India,17,Millions,...,,"Milk, Total",7976,1019484.0,17,17
51,17,1998-0217-IND,1998,Heat wave,India,IND,Southern Asia,Asia,,,,,50.0,1998,5,26.0,1998,5,26.0,2541.0,,,,,60.1574108900066,"Orissa, Andhra Pradesh, Rajasthan, Madhya Pradesh, Uttar Pradesh, Gujarat states",IN,IN,20.593684,78.96288,India,17,Millions,...,,Vegetables Primary,119707,1019484.0,17,17
52,18,1998-0204-ITA,1998,Heat wave,Italy,ITA,Southern Europe,Europe,,,,,46.0,1998,7,4.0,1998,7,4.0,10.0,,,,,60.1574108900066,Calabria,IT,IT,41.87194,12.56738,Italy,18,Millions,1138856.1,,"Cereals, Total",50782,56743.0,18,18
53,18,1998-0204-ITA,1998,Heat wave,Italy,ITA,Southern Europe,Europe,,,,,46.0,1998,7,4.0,1998,7,4.0,10.0,,,,,60.1574108900066,Calabria,IT,IT,41.87194,12.56738,Italy,18,Millions,1138856.1,,Fruit Primary,126290,56743.0,18,18
54,18,1998-0204-ITA,1998,Heat wave,Italy,ITA,Southern Europe,Europe,,,,,46.0,1998,7,4.0,1998,7,4.0,10.0,,,,,60.1574108900066,Calabria,IT,IT,41.87194,12.56738,Italy,18,Millions,1138856.1,,"Milk, Total",12916,56743.0,18,18
55,18,1998-0204-ITA,1998,Heat wave,Italy,ITA,Southern Europe,Europe,,,,,46.0,1998,7,4.0,1998,7,4.0,10.0,,,,,60.1574108900066,Calabria,IT,IT,41.87194,12.56738,Italy,18,Millions,1138856.1,,Vegetables Primary,246533,56743.0,18,18
56,22,2000-0382-BGR,2000,Heat wave,Bulgaria,BGR,Eastern Europe,Europe,,,,,43.0,2000,6,,2000,7,,7.0,,,,,63.5495473431008,"Sofia, Sofia-city, Stata Zagora, Blagoevgrad, Vidin provinces",BG,BG,42.733883,25.48583,Bulgaria,22,Millions,28124.88,94.49745178,"Cereals, Total",24599,7998.0,22,22
57,22,2000-0382-BGR,2000,Heat wave,Bulgaria,BGR,Eastern Europe,Europe,,,,,43.0,2000,6,,2000,7,,7.0,,,,,63.5495473431008,"Sofia, Sofia-city, Stata Zagora, Blagoevgrad, Vidin provinces",BG,BG,42.733883,25.48583,Bulgaria,22,Millions,28124.88,94.49745178,Fruit Primary,46568,7998.0,22,22
58,22,2000-0382-BGR,2000,Heat wave,Bulgaria,BGR,Eastern Europe,Europe,,,,,43.0,2000,6,,2000,7,,7.0,,,,,63.5495473431008,"Sofia, Sofia-city, Stata Zagora, Blagoevgrad, Vidin provinces",BG,BG,42.733883,25.48583,Bulgaria,22,Millions,28124.88,94.49745178,"Milk, Total",5341,7998.0,22,22
59,22,2000-0382-BGR,2000,Heat wave,Bulgaria,BGR,Eastern Europe,Europe,,,,,43.0,2000,6,,2000,7,,7.0,,,,,63.5495473431008,"Sofia, Sofia-city, Stata Zagora, Blagoevgrad, Vidin provinces",BG,BG,42.733883,25.48583,Bulgaria,22,Millions,28124.88,94.49745178,Vegetables Primary,93981,7998.0,22,22
